Month,May,June,July,August,September
108 5mo,26,35.2,29.9,25.6,7.9
97 5mo,28,33.1,27.5,22.3,19.1
120 6mo,0,22.7,33.1,26.8,20.2
111 6mo,0,18.5,55.4,36.2,29.6
20 7mo,0,0,64.3,10,0
15 7mo,0,0,39.8,23.2,11.2
